# Generated by ReviewAid
Filename,Confidence,Paper Title,Conclusion,Type of Study,Population,Intervention,comparison,outcome,Results
Buron et al. - 2023 - Natalizumab treatment of multiple sclerosis — a Danish nationwide study with 13 years of follow-up.pdf,0.9,Natalizumab treatment of multiple sclerosis — a Danish nationwide study with 13 years of follow-up,Natalizumab is increasingly used earlier in the disease course. Most patients treated with natalizumab are clinically stable with few adverse events. JCV antibodies constitute the main cause for discontinuation.,Observational study,Multiple sclerosis patients initiating natalizumab treatment in Denmark between June 2006 and April 2020,Natalizumab,Not Found,"Annualized relapse rates, confirmed Expanded Disability Status Scale (EDSS) worsening, MRI activity, adverse events","In total, 2424 patients were enrolled, with a median follow-up time of 2.7 years (IQR 1.2–5.1). At 13 years of follow-up, 36% had a confirmed EDSS worsening. On-treatment ARR was 0.30, corresponding to a 72% reduction from pre-initiation. MRI activity was rare, 6.8% had activity within 2–14 months from treatment start, 3.4% within 14–26 months, and 2.7% within 26–38 months. Approximately 14% of patients reported adverse events, with cephalalgia constituting the majority. During the study, 62.3% discontinued treatment. Of these, the main cause (41%) was due to JCV antibodies, while discontinuations due to disease activity (9%) or adverse events (9%) were less frequent."
Butzkueven et al. - Similar clinical outcomes for natalizumab patients switching to every-6-week dosing versus remaining.pdf,0.9,Similar Clinical Outcomes for Natalizumab Patients Switching to Every-6-Week Dosing Versus Remaining on Every-4-Week Dosing in Real-World Practice,"These analyses of real-world data from TOP demonstrate no significant difference in risk of relapse or 24-week confirmed disability worsening (CDW) between propensity score–matched patients who switched to natalizumab Q6W dosing after ≥1 year on Q4W dosing and patients who remained on Q4W dosing. These results also confirm and extend a previous analysis of TOP data that suggested maintenance of effectiveness in patients who switched from standard interval dosing to extended interval dosing. While Q6W patients appeared to experience fewer serious adverse events (SAEs) than Q4W patients, conclusions regarding safety of Q6W and Q4W dosing are limited by small patient sample sizes. While propensity score matching and adjustment were used to account for several potentially important covariates, findings are limited by possible selection biases from unmeasured covariates. These results, combined with other real-world and clinical studies, including the ongoing, randomized, prospective NOVA t...",Propensity score–matched observational study (real-world data from TYSABRI Observational Program (TOP)),"Patients with relapsing-remitting multiple sclerosis (RRMS) who were on natalizumab every-4-week (Q4W) dosing for at least 1 year, either switching to every-6-week (Q6W) dosing or remaining on Q4W dosing.",Switching to every-6-week (Q6W) dosing of natalizumab after ≥1 year of every-4-week (Q4W) dosing.,Every-6-week (Q6W) dosing of natalizumab versus every-4-week (Q4W) dosing of natalizumab.,Relapse outcomes (risk of relapse) and disability outcomes (24-week confirmed disability worsening (CDW)).,"After propensity score matching, adjusted annualized relapse rates (ARRs) did not differ significantly between Q6W and Q4W groups. Cumulative probability of remaining relapse-free and time to first relapse also did not differ significantly. Similarly, cumulative probability of 24-week CDW did not differ significantly. Q6W patients experienced fewer serious adverse events (SAEs) than Q4W patients, though conclusions on safety are limited by small sample sizes. Potential selection bias from unmeasured covariates exists."
Chisari et al. - 2020 - Clinical effectiveness of different natalizumab interval dosing schedules in a large Italian populat.pdf,0.9,Clinical effectiveness of different natalizumab interval dosing schedules in a large Italian population of patients with multiple sclerosis,"In our retrospective multicentre study, EID does not appear to statistically diminish the effectiveness of NTZ, and comparable results were registered across all measured outcomes, including ARR, CEW risks and NEDA-2 outcome between the SID and EID groups.",retrospective multicentre observational study,patients with relapsing-remitting multiple sclerosis (RR-MS),Natalizumab (NTZ) administered according to extended interval dosing (EID) vs standard 4-weekly administration (SID),Standard interval dosing (SID) vs Extended interval dosing (EID),"annualised relapse rate, disability status, progression index, confirmed disability worsening, NEDA-2","At 12 and 24 months, no differences in terms of annualised relapse rate and disability status were found between the two groups. Progression index and confirmed disability worsening were similar between the two groups."
Clerico et al. - Extending the Interval of Natalizumab Dosing Is Efficacy Preserved.pdf,0.9,Extending the Interval of Natalizumab Dosing: Is Efficacy Preserved?,"Our study shows that clinical MS reactivation does not occur more frequently in patients in the EID group. These results come from a large, retrospective multicenter study that can have a very useful implication in clinical practice. According to our results, continuing natalizumab in an EID setting seems an efficacious therapeutic strategy in patients with highly active MS who decide to continue natalizumab 24 doses. The absence of evidence of a reduced efficacy of the EID strategy could be taken into account in planning further studies aimed at impacting the decision process about the therapeutic management of JCV-positive patients after 24 doses of natalizumab. In conclusion, this observation confirms previous results [15, 21, 33] and together with the emerging evidence of a reduced risk of PML associated to an EID, supports the need of a randomized study to change the standard of the natalizumab dosing schedule.","Observational, multicenter, retrospective cohort study",Adult patients with clinically definite relapsing multiple sclerosis (R-MS) who received at least 24 natalizumab doses and decided to continue natalizumab,Extended interval dosing (EID) of natalizumab,Standard interval dosing (SID) of natalizumab,Annualized relapse rate (ARR),"Annualized relapse rate was 0.060 (95% CI = 0.033–0.087) in the SID group and 0.039 (95% CI = 0.017–0.063) in the EID group. The non-inferiority of EID versus SID was satisfied. In conclusion, there is no evidence of a reduced efficacy of natalizumab in an EID setting."
De Mercanti et al. - 2021 - MRI activity and extended interval of Natalizumab dosing regimen a multicentre Italian study.pdf,0.9,MRI activity and extended interval of Natalizumab dosing regimen: a multicentre Italian study,"There is no evidence of the reduced efficacy of natalizumab in an EID setting regarding the MRI activity. This observation supports the need for a bigger randomized study to assess the need to change the standard of the natalizumab dosing schedule, to better manage JCV-positive patients.","Observational, multicentre, retrospective cohort study","Adult patients with clinically definite Relapsing-Remitting Multiple Sclerosis (R-MS), according to revised McDonald’s criteria, who received at least 24 consecutive natalizumab doses",Extended interval dosing (EID) regimen of natalizumab,Standard interval dosing (SID),MRI activity (defined as any new or enlarging T2-weighted lesion compared with lesions in the previous MR images or any gadolinium-enhancing lesion),"The risk to develop active lesions on MRI is similar in SID and EID groups during the 6 and 12 months after the 24th natalizumab infusion, respectively 4.27% (95% CI:0.84–7.70) vs 4.71% (95% CI:0.16–9.25%) [p = 0.89] and 8.50% (95% CI:4.05–12.95) vs 6.55% (95% CI:2.11–11.00%) [p = 0.56]. The EID regimen does not appear to increase the occurrence of MRI activity during follow-up."
Dekker et al. - 2019 - Long-term disease activity and disability progression in relapsing-remitting multiple sclerosis pati.pdf,0.9,Long-term disease activity and disability progression in relapsing-remitting multiple sclerosis patients on natalizumab,"The results suggest that starting natalizumab early, during active inflammatory disease results in a more favourable outcome. When taking into account early inflammation and the impact of natalizumab on disease activity during the initial treatment phase, a higher than expected proportion of patients showed disability progression. Long disease duration before the start of natalizumab predicted earlier EDSS progression. A high pre-baseline ARR predicted a lower chance of losing NEPAD-status early. These results suggest that starting treatment in an early phase of the disease in patients with high (inflammatory) disease activity may result in a more favourable outcome.",Clinical trial,Relapsing-remitting multiple sclerosis patients,Natalizumab,Not Found,Long-term disease activity and disability progression,"EDSS progression was seen in 43.7% of patients and EDSS improvement in 17.8%. Median follow-up was 4.9 years (IQR 3.6–6.0). Patients with a longer disease duration at natalizumab initiation have a higher hazard for earlier EDSS progression (HR 1.05, CI 1.00–1.09, p = 0.037) and a higher pre-baseline relapse rate predicted a longer NEPAD status (HR 1.70, CI 1.06–2.72, p = 0.028)."
Derfuss et al. - 2017 - α4-integrin receptor desaturation and disease activity return after natalizumab cessation.pdf,0.9,a4-integrin receptor desaturation and disease activity return after natalizumab cessation,"A faster decline in natalizumab RO, longer WO period, and higher T2 LV at baseline were associated with an increased risk for return of inflammatory disease activity. These results provide a mechanistic rationale and, together with the main outcomes of the TOFINGO study, support initiation of fingolimod within 8 weeks of natalizumab discontinuation.","32-week, patient- and rater-blinded multicenter, parallel-group study",Patients with relapsing-remitting MS (RRMS) who received their last natalizumab infusion within 67 days of randomization,Discontinuation of natalizumab (washout periods before fingolimod initiation),"Comparison of 8-, 12-, and 16-week washout periods before fingolimod initiation","Return of inflammatory disease activity (new T1 gadolinium-enhancing lesions, relapses, and changes in a4-integrin receptor occupancy)","Patients (N=142) were randomized to 8-, 12-, or 16-week washout groups. At randomization, median RO was 94.5%, 92.4%, and 90.9% respectively, declining to 79.8%, 30.7%, and 8.7% after 8, 12, and 16 weeks. The percentage of patients with new T1 Gd1 lesions increased with longer WO period (2.1% for 8 weeks, 9.1% for 12 weeks, 50.0% for 16 weeks). Higher baseline T2 lesion volume predicted more new T1 Gd1 lesions."
Foley et al. - 2022 - Comparison of switching to 6-week dosing of natalizumab versus continuing with 4-week dosing in pati.pdf,0.9,"Comparison of switching to 6-week dosing of natalizumab versus continuing with 4-week dosing in patients with relapsing-remitting multiple sclerosis (NOVA): a randomised, controlled, open-label, phase 3b trial","We found a numerical difference in the mean number of new or newly enlarging T2 hyperintense lesions at week 72 between the once every 6 weeks and once every 4 weeks groups, which reached significance under the secondary estimand, but interpretation of statistical differences (or absence thereof) is limited because disease activity in the once every 4 weeks group was lower than expected. The safety profiles of natalizumab once every 6 weeks and once every 4 weeks were similar. Although this trial was not powered to assess differences in risk of progressive multifocal leukoencephalopathy, the occurrence of the (asymptomatic) case underscores the importance of monitoring and risk factor consideration in all patients receiving natalizumab.","randomised, controlled, open-label, phase 3b trial","patients with relapsing-remitting multiple sclerosis (RRMS) aged 18–60 years, treated with intravenous natalizumab 300 mg once every 4 weeks with no relapses for at least 12 months before randomisation, with no missed doses in the previous 3 months",switch to natalizumab once every 6 weeks,continue with natalizumab once every 4 weeks,number of new or newly enlarging T2 hyperintense lesions at week 72,"Between Dec 26, 2018, and Aug 30, 2019, 605 patients were assessed for eligibility and 499 were enrolled and assigned to receive natalizumab once every 6 weeks (n=251) or once every 4 weeks (n=248). After prespecified adjustments for missing data, mean numbers of new or newly enlarging T2 hyperintense lesions at week 72 were 0·20 (95% CI 0·07–0·63) in the once every 6 weeks group and 0·05 (0·01–0·22) in the once every 4 weeks group (mean lesion ratio 4·24 [95% CI 0·86–20·85]; p=0·076) under the primary estimand, and 0·31 (95% CI 0·12–0·82) and 0·06 (0·01–0·31; mean lesion ratio 4·93 [95% CI 1·05–23·20]; p=0·044) under the secondary estimand. Two participants in the once every 6 weeks group with extreme new or newly enlarging T2 hyperintense lesion numbers (≥25) contributed most of the excess lesions. Adverse events occurred in 194 (78%) of 250 participants in the once every 6 weeks group and 190 (77%) of 247 in the once every 4 weeks group, and serious adverse events occurred in 17 (7%..."
Fuentes-Rumí et al. - 2020 - Prevention of rebound effect after natalizumab withdrawal in multiple sclerosis. Study of two high-d.pdf,0.9,Prevention of rebound effect after natalizumab withdrawal in multiple sclerosis. Study of two high-dose methylprednisolone schedules,"In this observational, retrospective study of 50 patients who discontinued natalizumab, in which two different IVMP treatment schedules were used during the washout period, we found a combined incidence of rebound of 10%, which is lower than expected according to the results obtained in other studies. The rebound effect occurred in younger patients, although more data would be needed to confirm age as a risk factor, and was not associated with a higher ARR in the pre-NTZ initiation year, nor with any new DMT initiated after NTZ. Treatment with IVMP during a short washout period might be associated with a lower incidence of rebound.","Observational, retrospective study","Patients with relapsing-remitting multiple sclerosis (RRMS) treated with natalizumab for at least 2 years, whose treatment was discontinued permanently either because of ineffectiveness or because of safety issues",Two high-dose methylprednisolone schedules (intravenous methylprednisolone (IVMP) treatment) during the washout period of natalizumab withdrawal,Two high-dose methylprednisolone schedules (3-month vs. 2-month washout periods),Incidence of rebound effect (defined as at least one clinical relapse plus radiological rebound activity during washout or 6 months after new DMT initiation),"Fifty patients (68% women) were included... Rebound was observed in 10% of cases (n = 5)... Both IVMP schedules were well tolerated during NTZ washout and rebound was observed in only 10% of cases. In our experience, administration of IVMP during NTZ washout could reduce the possibility of a rebound effect."
Gudesblatt et al. - Improvement in Cognitive Function as Measured by NeuroTrax in Patients with Relapsing Multiple Scler.pdf,0.9,Improvement in Cognitive Function as Measured by NeuroTrax in Patients with Relapsing Multiple Sclerosis Treated with Natalizumab: A 2-Year Retrospective Analysis,"Patients treated with natalizumab demonstrated significant improvement in cognitive function, measured by NeuroTrax GCS, over 2 years of treatment. Numerical improvements were observed for all seven individual cognitive domains from baseline to 2 years. These results indicate that some aspects of cognitive impairment can be reduced in patients with multiple sclerosis treated with natalizumab.",Retrospective observational study,Adult patients with relapsing multiple sclerosis (MS) in the United States who received 300 mg intravenous natalizumab every 4 weeks for ≥ 2 years,Natalizumab (300 mg intravenous infusion every 4 weeks),Not Found,Cognitive function measured by NeuroTrax (global cognitive score (GCS) and seven individual cognitive domain scores),"GCS score improved significantly from baseline (mean 95.5, standard deviation (SD) 12.9) to year 2 (mean 98.9, SD 13.2; change from baseline 3.4; p = 0.003). After 2 years on natalizumab, 17 patients (32.7%) demonstrated clinically significant improvement (increase from baseline > 1 SD) in GCS. Results were similar regardless of whether patients had previously received MS therapy."
Jakimovski et al. - 2023 - Patient-reported outcomes based on discontinuation or continuous treatment with natalizumab New Yor (1).pdf,0.9,Patient-reported outcomes based on discontinuation or continuous treatment with natalizumab: New York State Multiple Sclerosis Consortium (NYSMSC) study,Continuous natalizumab treatment provides long-term stability or improvement in PRO measures. Natalizumab also provides short term improvements recorded after the infusion.,Retrospective and prospective cohort study,People with multiple sclerosis (pwMS) treated with natalizumab,Natalizumab treatment (continuous vs. discontinuation),Comparison of patients who discontinued natalizumab vs. those who continued natalizumab treatment,"Patient-reported outcomes (PROs) measured by LIFEware System, including physical and psychosocial domains; also clinical outcomes like EDSS and T25FW","Within the prospective cohort, 242 pwMS were followed on average of 6.5 years. Greater number of PRO domains worsened in the 141 pwMS that discontinued natalizumab when compared to 101 pwMS that remained on the drug (10 vs. 2 PRO domains). PwMS that discontinued natalizumab had significant decline in PROs regarding lower extremities, bladder and bower control and psychosocial aspects (feeling lonesome). Contrarily, pwMS that continued natalizumab had significant improvement in bladder and bowel PRO measures. Seven days after the natalizumab infusion, the 67 pwMS from the prospective cohort reported improvement in PRO measures of fatigue (62.8 vs. 66.4, p = 0.019), bladder limitations (80.3 vs. 85.0, p = 0.012), and feelings of lonesomeness (81.2 vs. 88.0, p = 0.009)."
Kieseier et al. - Currently Approved Disease-Modifying Drugs Monoclonal Antibody Natalizumab.pdf,0.9,Translational Neuroimmunology in Multiple Sclerosis,"Natalizumab is a highly effective treatment for patients with relapsing forms of MS with a risk of developing PML, prompting a thorough risk–benefit assessment. Today, neurologists have to make complex treatment decisions together with their patients, sometimes on the basis of very limited clinical data and evidence. It becomes even more complex, since risk perceptions between patients and treating physician can differ dramatically, as shown for the PML risk perception in the context of natalizumab. Thus, optimal assessment of risks and benefits remain challenging. However, withholding a potent therapy with proven efficacy on disease activity (see Fig. 16.6), prevention of disability, and improvement in quality of life can also cause harm to patients with a disabling disease, such as MS.",Randomized controlled trial (phase-III studies),Patients with relapsing forms of multiple sclerosis (MS),Natalizumab (recombinant humanized monoclonal IgG4-antibody targeting α4 integrin),Placebo or interferon beta1a (IFNβ1a),"Relapse rate, disability progression (Expanded Disability Status Scale - EDSS), magnetic resonance imaging (MRI) measures (gadolinium-enhancing lesions, new or new enlarging T2 lesions), no evidence of disease activity (NEDA)","In the AFFIRM trial, natalizumab reduced relapse rate by 68% and confirmed disability progression by 42% vs. placebo; MRI showed >90% reduction in gadolinium-enhancing lesions. The SENTINEL trial found 53% reduction in relapse rate vs. IFNβ1a alone, with 89% reduction in gadolinium-enhancing lesions. Real-world studies replicated these efficacy outcomes. Safety concerns include PML risk, with risk stratification using anti-JCV antibody and other biomarkers. Natalizumab is effective in switching from other therapies and has real-world benefits in reducing relapse and disability."
Kleerekooper et al. - 2017 - Disease activity following pregnancy-related discontinuation of natalizumab in MS.pdf,1.0,Disease activity following pregnancy-related discontinuation of natalizumab in MS,"Early conception after NTZ discontinuation is associated with a reduced risk of disease activity and disability progression. Continuation of NTZ treatment until confirmed pregnancy should be considered in patients with previously active MS. However, the advantages of continuing the drug until pregnancy should be balanced against the uncertainties in postnatal outcomes.",retrospective cohort study,Patients with relapsing-remitting MS who discontinued natalizumab for pregnancy-related reasons,Discontinuation of natalizumab (NTZ),"Comparison of disease activity and disability progression based on time to conception after natalizumab discontinuation (e.g., conception within 6 months vs not within 6 months)",Disease activity and disability progression,Twenty-two pregnancy-related NTZ discontinuations in 17 patients were evaluated. The median time to conception was 3.4 months. Relapses were more frequent in patients in whom conception did not occur within 6 months (p = 0.022). Confirmed disability progression occurred in 27.3% and was associated with time to conception (p < 0.001).
Magro et al. - 2023 - Natalizumab wearing-off symptoms effect of extend interval dosing during Sars-CoV-2 pandemic.pdf,0.9,Natalizumab wearing‑off symptoms: effect of extend interval dosing during Sars‑CoV‑2 pandemic,"Adopting an extended interval dosing does not result in significantly different occurrence of WoS between the ExID and the StID populations, in our cohort of patients. Interestingly, there is a strong correlation between WoS and a higher EDSS and FSS. Safety and efficacy of Natalizumab with ExID are relatively preserved in our study.",Observational study,Patients with multiple sclerosis (MS) treated with Natalizumab,Extended interval dosing (ExID) of Natalizumab (administered every 5-6 weeks),"Standard interval dosing (StID, 4-weekly) versus extended interval dosing (ExID, 5-6-weekly)",Wearing-off symptoms (WoS),"Among the 86 patients, 32 (37.2%) reported WoS; most common symptom was fatigue (93.7%); mean EDSS was higher in the WoS group (3.8 vs 3.1, p < 0.05); sphincterial function EDSS item differed significantly (1.4 vs 0.6, p < 0.001); WoS correlated with FSS (p < 0.001); safety and efficacy of Natalizumab with ExID were relatively preserved."
martinelli2016.pdf,0.9,Recurrent disease-activity rebound in a patient with multiple sclerosis after natalizumab discontinuations for pregnancy planning,Further studies are required to assess disease course after natalizumab discontinuation and to investigate alternative safe approaches for pregnancy planning.,Case Report,16-year-old woman with relapsing–remitting multiple sclerosis,Natalizumab discontinuation,Natalizumab discontinuation vs continued natalizumab treatment,"Recurrent clinical and MRI disease activity (relapses, gadolinium-enhanced lesions) after natalizumab discontinuation","Recurrent disease-activity rebound after natalizumab discontinuation for pregnancy planning, leading to clinical relapses, increased gadolinium-enhanced MRI lesions, and worsening disability, which required restarting natalizumab treatment."
