# Generated by ReviewAid
Filename,Confidence,Paper Title,Conclusion,Type of Study,Population,Intervention,comparison,outcome,Results
Brandstadter et al. - 2017 - The use of natalizumab for multiple sclerosis.pdf,0.9,The use of natalizumab for multiple sclerosis,"Natalizumab remains an important part of the treatment arsenal for patients with RRMS. It has proven to be highly efficacious in the reduction of clinical relapses and prevention of new MRI activity. Though generally well-tolerated, natalizumab does carry a risk for the life-threatening condition PML. Risk mitigation awareness and development of a formal monitoring program have encouraged careful prescribing of natalizumab, though the risk of PML has not been fully eliminated. Future work continues into the development of new biomarkers that may better predict an individual’s risk of PML and further improve upon natalizumab’s safety.",Review,Patients with multiple sclerosis (including relapsing-remitting and secondary progressive subtypes),Natalizumab,Placebo,"Annualized relapse rate, MRI lesion activity, disability progression","In Phase III trials for relapsing-remitting multiple sclerosis (RRMS), natalizumab reduced the annualized relapse rate by 68% at 1 year and 42% reduction in risk of sustained disability worsening at 2 years compared to placebo. It also decreased new/enlarging T2 MRI lesions by 83% and gadolinium-enhancing lesions by 92%. In secondary progressive multiple sclerosis (SPMS), natalizumab did not show significant difference in disability progression but reduced upper extremity disability. Safety concerns include progressive multifocal leukoencephalopathy (PML) risk, especially in patients with positive anti-JCV antibodies, prior immunosuppressant use, and long duration of therapy."
Buron et al. - 2023 - Natalizumab treatment of multiple sclerosis — a Danish nationwide study with 13 years of follow-up.pdf,0.9,Natalizumab treatment of multiple sclerosis — a Danish nationwide study with 13 years of follow-up,Natalizumab is increasingly used earlier in the disease course. Most patients treated with natalizumab are clinically stable with few adverse events. JCV antibodies constitute the main cause for discontinuation.,Observational study,Multiple sclerosis patients initiating natalizumab treatment in Denmark,Natalizumab,Not Found,"Clinical and radiological outcomes including annualized relapse rate, confirmed Expanded Disability Status Scale (EDSS) worsening, MRI activity, and reported adverse events","In total, 2424 patients were enrolled with median follow-up of 2.7 years. At 13 years follow-up, 36% had confirmed EDSS worsening. On-treatment annualized relapse rate (ARR) was 0.30, corresponding to a 72% reduction from pre-initiation. MRI activity was rare: 6.8% had activity within 2–14 months, 3.4% within 14–26 months, and 2.7% within 26–38 months. Approximately 14% reported adverse events, with cephalalgia being the majority. During the study, 62.3% discontinued treatment, mainly due to JCV antibodies (41%)."
Butzkueven et al. - Similar clinical outcomes for natalizumab patients switching to every-6-week dosing versus remaining.pdf,0.9,Similar Clinical Outcomes for Natalizumab Patients Switching to Every-6-Week Dosing Versus Remaining on Every-4-Week Dosing in Real-World Practice,"These analyses of real-world data from TOP demonstrate no significant difference in risk of relapse or 24-week CDW between propensity score–matched patients who switched to natalizumab Q6W dosing after ≥1 year on Q4W dosing and patients who remained on Q4W dosing. These results also confirm and extend a previous analysis of TOP data that suggested maintenance of effectiveness in patients who switched from standard interval dosing to extended interval dosing. While Q6W patients appeared to experience fewer serious adverse events (SAEs) than Q4W patients, conclusions regarding safety of Q6W and Q4W dosing are limited by small patient sample sizes. While propensity score matching and adjustment were used to account for several potentially important covariates, findings are limited by possible selection biases from unmeasured covariates. These results, combined with other real-world and clinical studies, including the ongoing, randomized, prospective NOVA trial (NCT03689972), will provide ...",Propensity score–matched observational study (TOP data),"Patients with relapsing-remitting multiple sclerosis (RRMS) who were on natalizumab every-4-week (Q4W) dosing for at least 1 year, comparing those who switched to every-6-week (Q6W) dosing to those who remained on Q4W dosing.",Switching to every-6-week (Q6W) dosing of natalizumab,Every-6-week (Q6W) dosing of natalizumab versus every-4-week (Q4W) dosing of natalizumab,"Relapse outcomes (annualized relapse rate, time to first relapse) and disability outcomes (24-week confirmed disability worsening (CDW)), and safety outcomes (serious adverse events, PML incidence)","No significant difference in relapse or 24-week CDW risk between Q6W-switched and Q4W patients; Q6W patients experienced fewer serious adverse events (SAEs) than Q4W patients, though safety conclusions are limited by small sample sizes; propensity score matching adjusted for covariates but selection bias remains a limitation; combined with other studies will provide a more complete understanding of Q6W effectiveness."
Chisari et al. - 2020 - Clinical effectiveness of different natalizumab interval dosing schedules in a large Italian populat.pdf,0.9,Clinical effectiveness of different natalizumab interval dosing schedules in a large Italian population of patients with multiple sclerosis,"In our retrospective multicentre study, EID does not appear to statistically diminish the effectiveness of NTZ, and comparable results were registered across all measured outcomes, including ARR, CEW risks and NEDA-2 outcome between the SID and EID groups.",retrospective multicentre study,patients with multiple sclerosis (relapsing-remitting MS) from 11 Italian MS centres contributing to the Italian MS Register,Natalizumab (NTZ) administered according to standard interval dosing (SID) vs extended interval dosing (EID),Standard interval dosing (SID) vs Extended interval dosing (EID),"annualised relapse rate, disability status (EDSS), progression index, confirmed disability worsening, no evidence of disease activity (NEDA-2)","At 12 and 24 months, no differences in terms of annualised relapse rate and disability status were found between the two groups. Progression index and confirmed disability worsening were similar between the two groups."
Clerico et al. - Extending the Interval of Natalizumab Dosing Is Efficacy Preserved.pdf,0.9,Extending the Interval of Natalizumab Dosing: Is Efficacy Preserved?,"In conclusion, there is no evidence of a reduced efficacy of natalizumab in an EID setting. This observation confirms previous results and together with the emerging evidence of a reduced risk of PML associated to an EID, supports the need of a randomized study to change the standard of the natalizumab dosing schedule.","observational, multicenter (14 Italian centers), retrospective cohort study","Adult patients with clinically definite relapsing MS (R-MS), according to revised McDonald’s criteria, who received at least 24 natalizumab doses and decided to continue natalizumab",Extended interval dosing (EID) of natalizumab,Standard interval dosing (SID) of natalizumab,Annualized relapse rate (ARR),Annualized relapse rate was 0.060 (95% CI = 0.033–0.087) in the SID group and 0.039 (95% CI = 0.017–0.063) in the EID group. The non-inferiority of EID versus SID was satisfied.
De Mercanti et al. - 2021 - MRI activity and extended interval of Natalizumab dosing regimen a multicentre Italian study.pdf,0.9,MRI activity and extended interval of Natalizumab dosing regimen: a multicentre Italian study,"There is no evidence of the reduced efficacy of natalizumab in an EID setting regarding the MRI activity. This observation supports the need for a bigger randomized study to assess the need to change the standard of the natalizumab dosing schedule, to better manage JCV-positive patients.","Observational, multicentre, retrospective cohort study",Adult patients with clinically definite relapsing-remitting multiple sclerosis (R-MS) who received at least 24 consecutive natalizumab doses and decided to continue natalizumab,Extended interval dosing (EID) regimen of natalizumab,Standard interval dosing (SID) vs Extended interval dosing (EID),MRI activity (active lesions on MRI),"The risk to develop active lesions on MRI was similar between SID and EID groups at 6 and 12 months after the 24th natalizumab infusion (4.27% vs 4.71% at 6 months, p=0.89; 8.50% vs 6.55% at 12 months, p=0.56). Over longer follow-up, no differences were identified. The EID regimen did not increase MRI activity."
Dekker et al. - 2019 - Long-term disease activity and disability progression in relapsing-remitting multiple sclerosis pati.pdf,0.9,Long-term disease activity and disability progression in relapsing-remitting multiple sclerosis patients on natalizumab,"in this longitudinal cohort study of natalizumab treated patients, a higher than expected proportion of patients showed disability progression, taken into account the impact of initial improvement shortly after the start of natalizumab treatment. Long disease duration before the start of natalizumab predicted earlier EDSS progression. A high pre-baseline ARR predicted a lower chance of losing NEPAD-status early. These results suggest that starting treatment in an early phase of the disease in patients with high (inflammatory) disease activity may result in a more favourable outcome.",Clinical trial,Relapsing-remitting multiple sclerosis (RRMS) patients,Natalizumab,Not Found,"Long-term disease activity and disability progression (measured via EDSS progression/improvement, NEDA, NEPAD status)","EDSS progression was seen in 43.7% of patients and EDSS improvement in 17.8%. Median follow-up was 4.9 years (IQR 3.6–6.0). Patients with a longer disease duration at natalizumab initiation have a higher hazard for earlier EDSS progression (HR 1.05, CI 1.00–1.09, p = 0.037) and a higher pre-baseline relapse rate predicted a longer NEPAD status (HR 1.70, CI 1.06–2.72, p = 0.028)."
Derfuss et al. - 2017 - α4-integrin receptor desaturation and disease activity return after natalizumab cessation.pdf,0.9,a4-integrin receptor desaturation and disease activity return after natalizumab cessation,"A faster decline in natalizumab RO, longer WO period, and higher T2 LV at baseline were associated with an increased risk for return of inflammatory disease activity. These results provide a mechanistic rationale and, together with the main outcomes of the TOFINGO study, support initiation of fingolimod within 8 weeks of natalizumab discontinuation.","Randomized, multicenter, parallel-group study",Patients with relapsing-remitting MS (RRMS) who received their last natalizumab infusion (LNI) within 67 days of randomization.,"Natalizumab discontinuation (with 8-, 12-, or 16-week washout periods)","Different natalizumab washout periods (8-week, 12-week, 16-week groups)","Return of inflammatory disease activity (measured by new T1 gadolinium-enhancing lesions, relapses, etc.)","Patients (N = 142) were randomized to 8-, 12-, or 16-week washout groups. Median a4-integrin receptor occupancy declined to 79.8%, 30.7%, and 8.7% after 8, 12, and 16 weeks of washout, respectively. The percentage of patients with new T1 Gd1 lesions increased with longer washout period: 2.1% (8 weeks), 9.1% (12 weeks), and 50.0% (16 weeks). Higher baseline T2 lesion volume predicted a higher number of new T1 Gd1 lesions."
Foley et al. - 2022 - Comparison of switching to 6-week dosing of natalizumab versus continuing with 4-week dosing in pati.pdf,0.9,"Comparison of switching to 6-week dosing of natalizumab versus continuing with 4-week dosing in patients with relapsing-remitting multiple sclerosis (NOVA): a randomised, controlled, open-label, phase 3b trial","We found a numerical difference in the mean number of new or newly enlarging T2 hyperintense lesions at week 72 between the once every 6 weeks and once every 4 weeks groups, which reached significance under the secondary estimand, but interpretation of statistical differences (or absence thereof) is limited because disease activity in the once every 4 weeks group was lower than expected. The safety profiles of natalizumab once every 6 weeks and once every 4 weeks were similar. Although this trial was not powered to assess differences in risk of progressive multifocal leukoencephalopathy, the occurrence of the (asymptomatic) case underscores the importance of monitoring and risk factor consideration in all patients receiving natalizumab.","randomised, controlled, open-label, phase 3b trial",patients with relapsing-remitting multiple sclerosis,natalizumab once every 6 weeks,natalizumab once every 4 weeks,number of new or newly enlarging T2 hyperintense lesions at week 72,"Between Dec 26, 2018, and Aug 30, 2019, 605 patients were assessed for eligibility and 499 were enrolled and assigned to receive natalizumab once every 6 weeks (n=251) or once every 4 weeks (n=248). After prespecified adjustments for missing data, mean numbers of new or newly enlarging T2 hyperintense lesions at week 72 were 0·20 (95% CI 0·07–0·63) in the once every 6 weeks group and 0·05 (0·01–0·22) in the once every 4 weeks group (mean lesion ratio 4·24 [95% CI 0·86–20·85]; p=0·076) under the primary estimand, and 0·31 (95% CI 0·12–0·82) and 0·06 (0·01–0·31; mean lesion ratio 4·93 [95% CI 1·05–23·20]; p=0·044) under the secondary estimand. Two participants in the once every 6 weeks group with extreme new or newly enlarging T2 hyperintense lesion numbers (≥25) contributed most of the excess lesions. Adverse events occurred in 194 (78%) of 250 participants in the once every 6 weeks group and 190 (77%) of 247 in the once every 4 weeks group, and serious adverse events occurred in 17 (7%..."
Fuentes-Rumí et al. - 2020 - Prevention of rebound effect after natalizumab withdrawal in multiple sclerosis. Study of two high-d.pdf,0.9,Prevention of rebound effect after natalizumab withdrawal in multiple sclerosis. Study of two high-dose methylprednisolone schedules,"In this observational, retrospective study of 50 patients who discontinued natalizumab, in which two different IVMP treatment schedules were used during the washout period, we found a combined incidence of rebound of 10%, which is lower than expected according to the results obtained in other studies. The rebound effect occurred in younger patients, although more data would be needed to confirm age as a risk factor, and was not associated with a higher ARR in the pre-NTZ initiation year, nor with any new DMT initiated after NTZ. Treatment with IVMP during a short washout period might be associated with a lower incidence of rebound.","Observational, retrospective study (single-center)","Patients with relapsing-remitting multiple sclerosis (RRMS) treated with natalizumab for at least 2 years, whose treatment was discontinued permanently due to ineffectiveness or safety issues (PML risk)","Two high-dose intravenous methylprednisolone (IVMP) schedules during natalizumab washout period: Schedule 1 (3-month washout: 1, 2, 3 g IVMP on months 1,2,3); Schedule 2 (2-month washout: 1, 2 g IVMP on months 1,2).",Comparison of two intravenous methylprednisolone (IVMP) treatment schedules (3-month vs. 2-month washout) during natalizumab withdrawal,Incidence of rebound effect (defined as at least one clinical relapse plus radiological rebound activity) during washout and 6 months after new DMT initiation,"Fifty patients (68% women) were included, with a mean (SD) age of 37.76 (10.88) years and pre-NTZ annualized relapse rate (ARR) of 1.78 (1.04). During NTZ therapy, mean Expanded Disability Status Scale (EDSS) score was 3.7 (1.73) and ARR was 0.23 (0.39). The ARR (mean of both schedules) was 0.1 (0.71) during washout and 0.32 (0.84) at 6M-DMT. Rebound was observed in 10% of cases (n = 5), with no significant clinical or radiological differences (p>0.05) between the two IVMP schedules. Rebound was observed in younger patients and was associated with new MRI lesions and higher ARR at 3M-DMT and 6M-DMT respectively, with no difference in EDSS after 2 years of follow-up. Neither the ARR before NTZ initiation nor the choice of new DMT after NTZ discontinuation was associated with development of rebound effect. Both IVMP schedules were well tolerated during NTZ washout and rebound was observed in only 10% of cases. In our experience, administration of IVMP during NTZ washout could reduce the ..."
Gudesblatt et al. - Improvement in Cognitive Function as Measured by NeuroTrax in Patients with Relapsing Multiple Scler.pdf,0.9,Improvement in Cognitive Function as Measured by NeuroTrax in Patients with Relapsing Multiple Sclerosis Treated with Natalizumab: A 2-Year Retrospective Analysis,"Patients treated with natalizumab demonstrated significant improvement in cognitive function, measured by NeuroTrax GCS, over 2 years of treatment.",Retrospective observational study,Adult MS patients in the United States who received 300 mg intravenous natalizumab every 4 weeks for ≥ 2 years,Natalizumab (300 mg intravenous every 4 weeks),Not Found,Cognitive function as measured by NeuroTrax (global cognitive score and seven individual domain scores),"In the study population at baseline (N = 52), 22 patients (42.3%) had disease duration of 0–5 years; 12 patients (23.1%) were treatment naive. GCS score improved significantly from baseline [mean 95.5, standard deviation (SD) 12.9] to year 2 (mean 98.9, SD 13.2; change from baseline 3.4; p = 0.003). After 2 years on natalizumab, 17 patients (32.7%) demonstrated clinically significant improvement (increase from baseline > 1 SD) in GCS. Results were similar regardless of whether patients had previously received MS therapy."
Jakimovski et al. - 2023 - Patient-reported outcomes based on discontinuation or continuous treatment with natalizumab New Yor (1).pdf,0.9,Patient-reported outcomes based on discontinuation or continuous treatment with natalizumab: New York State Multiple Sclerosis Consortium (NYSMSC) study,Continuous natalizumab treatment provides long-term stability or improvement in PRO measures. Natalizumab also provides short term improvements recorded after the infusion.,Retrospective cohort study and prospective cohort study,"People with multiple sclerosis (pwMS) treated with natalizumab, selected from New York State Multiple Sclerosis Consortium database",Natalizumab treatment,Discontinuation of natalizumab treatment versus continuous natalizumab treatment,"Patient-reported outcomes (PRO) measured by LIFEware System™ assessing physical and psychosocial domains (e.g., fatigue, bladder limitations, feelings of lonesomeness).","Among pwMS who discontinued natalizumab, more PRO domains worsened compared to those who continued (10 vs. 2 domains). Continuous treatment improved bladder/bowel PROs; discontinuation led to decline in lower extremity, bladder, bowel, and psychosocial PROs. After infusion, short-term improvement in fatigue, bladder limitations, and lonesomeness was observed."
Kieseier et al. - Currently Approved Disease-Modifying Drugs Monoclonal Antibody Natalizumab.pdf,0.9,Translational Neuroimmunology in Multiple Sclerosis,"Natalizumab is a highly effective treatment for patients with relapsing forms of MS with a risk of developing PML, prompting a thorough risk–benefit assessment. Withholding a potent therapy with proven efficacy on disease activity, prevention of disability, and improvement in quality of life can also cause harm to patients with a disabling disease, such as MS.",Clinical Trial (Phase III studies included),Patients with Multiple Sclerosis (MS),Natalizumab (recombinant humanized monoclonal IgG4-antibody targeting α4 integrin),Placebo (in AFFIRM trial); Interferon beta1a (IFNβ1a) (in SENTINEL trial),"Relapse rate reduction, disability progression (Expanded Disability Status Scale - EDSS), MRI measures (gadolinium-enhancing lesions, new or new enlarging T2 lesions), no evidence of disease activity (NEDA)","In the AFFIRM trial, natalizumab reduced relapse rate by 68% and confirmed disability progression by 42% vs placebo; in SENTINEL, relapse rate reduced by 53% vs IFNβ1a. Over 37% of natalizumab-treated patients achieved no evidence of disease activity (NEDA) vs 7% in placebo group. Real-world studies replicated these efficacy findings. Safety concerns include PML risk, with risk stratification via anti-JCV antibody testing."
Kleerekooper et al. - 2017 - Disease activity following pregnancy-related discontinuation of natalizumab in MS.pdf,0.9,Disease activity following pregnancy-related discontinuation of natalizumab in MS,"Early conception after NTZ discontinuation is associated with a reduced risk of disease activity and disability progression. Continuation of NTZ treatment until confirmed pregnancy should be considered in patients with previously active MS. However, the advantages of continuing the drug until pregnancy should be balanced against the uncertainties in postnatal outcomes.",Retrospective cohort study,Patients with relapsing-remitting MS who discontinued natalizumab for pregnancy-related reasons,Discontinuation of natalizumab (NTZ),"Comparison of disease activity and disability progression based on time to conception after NTZ discontinuation (e.g., conception within 6 months vs not within 6 months)",Disease activity (clinical and radiologic relapses) and disability progression (confirmed EDSS progression),Twenty-two pregnancy-related NTZ discontinuations in 17 patients were evaluated. The median time to conception was 3.4 months. Relapses were more frequent in patients in whom conception did not occur within 6 months (p = 0.022). Confirmed disability progression occurred in 27.3% and was associated with time to conception (p < 0.001).
Magro et al. - 2023 - Natalizumab wearing-off symptoms effect of extend interval dosing during Sars-CoV-2 pandemic.pdf,0.9,Natalizumab wearing‑off symptoms: effect of extend interval dosing during Sars‑CoV‑2 pandemic,"Adopting an extended interval dosing does not result in significantly different occurrence of WoS between the ExID and the StID populations, in our cohort of patients. Interestingly, there is a strong correlation between WoS and a higher EDSS and FSS. Safety and efficacy of Natalizumab with ExID are relatively preserved in our study.",Observational study (cohort study),Patients treated with Natalizumab for multiple sclerosis (MS),Extended interval dosing (ExID) of Natalizumab (5–6 weeks),Standard interval dosing (StID of 4 weeks) vs Extended interval dosing (ExID of 5–6 weeks),Wearing-off symptoms (WoS),"Among the 86 patients, 32 (37.2%) reported WoS. Most common one was fatigue (93.7%). Mean EDSS was higher in the group reporting WoS (3.8 WoS vs 3.1 non-WoS, p < 0.05). Sphincterial function was the EDSS item that significantly differed between the WoS group and the non-WoS group (1.4 WoS vs 0.6 non-WoS, p < 0.001). WoS correlate with the FSS scale (p < 0.001). Adopting an extended interval dosing does not result in significantly different occurrence of WoS between the ExID and the StID populations. Safety and efficacy of Natalizumab with ExID are relatively preserved in our study."
