# Generated by ReviewAid
Filename,Confidence,Paper Title,Journal,DOI,Category,Therapeutic Area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Make and Model,Wear Location,Algorithm/Analysis Software,Sample Size,Participant Age,Participant Gender.,Sensor(s)
bailey2014.pdf,0.9,Clinical Accuracy of a Continuous Glucose Monitoring System With an Advanced Algorithm,Journal of Diabetes Science and Technology,10.1177/1932296814559746,Not Found,Diabetes,Diabetes,Performance of a modified Dexcom G4 Platinum CGM system with advanced algorithm,Clinical accuracy assessment (compared with YSI venous samples and SMBG),Frequent venous samples (YSI laboratory reference) and self-monitored blood glucose (SMBG),Continuous Glucose Monitoring (CGM) system (modified Dexcom G4 Platinum),Dexcom G4 Platinum,Not Found,Advanced algorithm (modified calibration algorithm),51,Not Found,Not Found,Dexcom G4 Platinum sensor
bailey2015.pdf,0.85,The Performance and Usability of a Factory-Calibrated Flash Glucose Monitoring System,Not Found,Not Found,Not Found,Diabetes,Type 1 or Type 2 Diabetes,Performance and Usability of Flash Glucose Monitoring System,"Accuracy (e.g., percentage within Consensus Error Grid Zone A, mean absolute relative difference)",Capillary blood glucose results (BG meter and YSI analyzer),FreeStyle Libre Flash glucose monitoring system,FreeStyle Libre (Abbott Diabetes Care),Back of upper arm,Not Found,72,Not Found,Not Found,FreeStyle Libre sensor
bailey20140-.pdf,0.9,Accuracy and Acceptability of the 6-Day Enlite Continuous Subcutaneous Glucose Sensor,DIABETES TECHNOLOGY & THERAPEUTICS,10.1089/dia.2013.0222,Not Found,Diabetes,Diabetes,Performance and acceptability of the 6-Day Enlite Continuous Subcutaneous Glucose Sensor,"Accuracy assessment (mean absolute relative difference, ARD; agreement rates; consensus error grid analysis) and acceptability (subject satisfaction questionnaire)",Frequently sampled plasma glucose values (reference method: YSI 2300 STAT Plus glucose and lactate analyzer),Continuous Subcutaneous Glucose Sensor,"Medtronic MiniMed, Inc. Enlite",Abdomen and/or buttock,Not Found,90,18–75 years,"54.4% male, 45.6% female",Enlite glucose sensor
banerjee20180?.pdf,0.2,Validating a commercial device for continuous activity measurement in the older adult population for dementia management,Smart Health,https://doi.org/10.1016/j.smhl.2017.11.001,Not Found,Dementia Management,Dementia,Continuous activity measurement for dementia management in older adults,"Validation of physiological parameters (heart rate, breathing rate, step count, activity level) against clinical gold standard measures","Clinical gold standard measures (e.g., motion capture system, metabolic cart, Polar Heart rate monitor)",Hexoskin sensor vest,Hexoskin sensor vest,Under-shirt (anatomically closest to right anterior superior iliac spine for activity level),Not Found,31,65 and older,"12 male, 19 female",Not Found
banerjee20180?.pdf,0.2,Validating a commercial device for continuous activity measurement in the older adult population for dementia management,Smart Health,https://doi.org/10.1016/j.smhl.2017.11.001,Not Found,Dementia Management,Dementia,Continuous activity measurement for dementia management in older adults,"Validation of physiological parameters (heart rate, breathing rate, step count, activity level) against clinical gold standard measures","Clinical gold standard measures (e.g., motion capture system, metabolic cart, Polar Heart rate monitor)",Hexoskin sensor vest,Hexoskin sensor vest,Under-shirt (anatomically closest to right anterior superior iliac spine for activity level),Not Found,31,65 and older,"12 male, 19 female",Not Found
baque2016.pdf,0.9,Reproducibility in measuring physical activity in children and adolescents with an acquired brain injury,Brain Injury,10.1080/02699052.2016.1201594,Not Found,Not Found,Acquired Brain Injury,Reproducibility in measuring physical activity,Physical activity performance,Not Found,Accelerometry,ActiGraph® GT3X+,Waist (mid-axilla line at the level of the anterior superior iliac spine on the side of the body with the least neurological impairment),ActiLife™v6 and MATLAB scripts,51,8–16 years,"Male (20 males in reproducibility tasks, 27 males in variability)",ActiGraph® GT3X+ accelerometer
file.pdf,0.9,Assessing Sleep Disturbance in Low Back Pain: The Validity of Portable Instruments,PLoS ONE,doi:10.1371/journal.pone.0095824,Not Found,Low Back Pain,Low Back Pain,Validity of portable instruments for assessing sleep disturbance,"Sleep parameters (total sleep time, sleep onset latency, sleep efficiency, wake after sleep onset)",Polysomnography (PSG),Portable actigraphy devices (Armband and Actiwatch),"BodyMedia SenseWear Armband (SenseWear-Pro3), Philips Respironics Actiwatch 2","Right upper arm (Armband), non-dominant wrist (Actiwatch)","SenseWear Professional Software (Armband), ActiWare (Actiwatch)",50,"Mean 42.7 years, SD 15.15 years",48% female,"Accelerometer (for Actiwatch), multi-sensor (accelerometer, skin temperature, GSR, heat flux for Armband)"
mhealth-2015-3-e78.pdf,0.85,Mobile Phone-Connected Wearable Motion Sensors to Assess Postoperative Mobilization,JMIR mHealth uHealth,10.2196/mhealth.3785,Not Found,Not Found,Postoperative neurosurgical conditions (spine and cranial surgeries),Remote monitoring of postoperative mobilization using wearable motion sensors,Accuracy of wearable motion sensors in counting steps during postoperative mobilization,Manual step counting by researchers,FitBit Zip (wearable activity sensor),FitBit Zip,Hips and Ankles,SPSS version 21,27,Median 57 years (IQR 44-68),Male: 13 (48%),FitBit Zip
ptj0898.pdf,0.9,Reliability of Physical Activity Measures During Free-Living Activities in People After Total Knee Arthroplasty,Phys Ther,10.2522/ptj.20150407,Not Found,Not Found,Total Knee Arthroplasty,Physical Activity Measures Reliability,Test-retest reliability of physical activity measures,"Actigraph, SenseWear Armband, CHAMPS questionnaire",Accelerometer-based and multisensor technology,"Actigraph GT3X, SenseWear Pro-3","Waist (Actigraph), Upper Arm (SenseWear)","ActiLife 5 (Actigraph), Professional software v6.1 (SenseWear)",28,69 years (SD=8),75% women,"Accelerometer (Actigraph), Multisensor (SenseWear)"
sensors-17-02406.pdf,0.9,A Wearable Magneto-Inertial System for Gait Analysis (H-Gait): Validation on Normal Weight and Overweight/Obese Young Healthy Adults,Sensors,10.3390/s17102406,Not Found,Not Found,Normal weight and overweight/obese young healthy adults,Gait analysis using wearable magneto-inertial system,"Spatio-temporal parameters, joint kinematics",STEP32,Wearable magneto-inertial system,"TSDN121 (ATR Promotions, Kyoto, Japan)","Pelvis, shanks (tibia), thighs, ankles (medial malleolus)",Extended Kalman filter (for orientation) and SPSS,22,20-30 years,Male,"Magneto-inertial sensors (tri-axial accelerometer, gyroscope, magnetometer)"
