Record #,Full Citation,Title,Authors,Journal,Year,DOI,Category,Therapeutic area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Sensor(s),Make and Model,Wear location,Algorithm / Analysis Software,Sample size,Participant age,Participant gender
1566,"Author: Komarzynski, S., Huang, Q., Innominato, P. F., Maurice, M., Arbaud, A., Beau, J., Bouchahda, M., Ulusakarya, A., Beaumatin, N., Breda, G., Finkenstadt, B. and Levi, F.
Year: 2018
Title: Relevance of a Mobile Internet Platform for Capturing Inter- and Intrasubject Variabilities in Circadian Coordination During Daily Routine: Pilot Study
Journal: J Med Internet Res
Volume: 20
Issue: 6
Pages: e204
",,,,,,,,,,,,,,,,,,,
1569,"Author: Konharn, K., Eungpinichpong, W., Promdee, K., Sangpara, P., Nongharnpitak, S., Malila, W. and Karawa, J.
Year: 2016
Title: Validity and Reliability of Smartphone Applications for the Assessment of Walking and Running in Normal-weight and Overweight/Obese Young Adults
Journal: J Phys Act Health
Volume: 13
Issue: 12
Pages: 1333-1340
",,,,,,,,,,,,,,,,,,,
1581,"Author: Koutsonas, A., Walter, P., Roessler, G. and Plange, N.
Year: 2015
Title: Implantation of a novel telemetric intraocular pressure sensor in patients with glaucoma (ARGOS study): 1-year results
Journal: Invest Ophthalmol Vis Sci
Volume: 56
Issue: 2
Pages: 1063-9
",,,,,,,,,,,,,,,,,,,
1584,"Author: Kocer, A. and Oktay, A. B.
Year: 2016
Title: Nintendo Wii assessment of Hoehn and Yahr score with Parkinson's disease tremor
Journal: Technol Health Care
Volume: 24
Issue: 2
Pages: 185-91
",,,,,,,,,,,,,,,,,,,
1611,"Author: Kunisaki, K. M., Bohn, O. A., Wetherbee, E. E. and Rector, T. S.
Year: 2016
Title: High-resolution wrist-worn overnight oximetry has high positive predictive value for obstructive sleep apnea in a sleep study referral population
Journal: Sleep Breath
Volume: 20
Issue: 2
Pages: 583-7
",,,,,,,,,,,,,,,,,,,
1615,"Author: Kuo, C. E., Liu, Y. C., Chang, D. W., Young, C. P., Shaw, F. Z. and Liang, S. F.
Year: 2017
Title: Development and Evaluation of a Wearable Device for Sleep Quality Assessment
Journal: IEEE Trans Biomed Eng
Volume: 64
Issue: 7
Pages: 1547-1557
",,,,,,,,,,,,,,,,,,,
1619,"Author: Kusmakar, S., Karmakar, C. K., Yan, B., O'Brien, T. J., Muthuganapathy, R. and Palaniswami, M.
Year: 2017
Title: Detection of generalized tonic-clonic seizures using short length accelerometry signal
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2017
Pages: 4566-4569
",,,,,,,,,,,,,,,,,,,
1624,"Author: Kwasnicki, R. M., Ali, R., Jordan, S. J., Atallah, L., Leong, J. J., Jones, G. G., Cobb, J., Yang, G. Z. and Darzi, A.
Year: 2015
Title: A wearable mobility assessment device for total knee replacement: A longitudinal feasibility study
Journal: Int J Surg
Volume: 18
Pages: 14-20
",,,,,,,,,,,,,,,,,,,
1635,"Author: Laffel, L.
Year: 2016
Title: Improved Accuracy of Continuous Glucose Monitoring Systems in Pediatric Patients with Diabetes Mellitus: Results from Two Studies
Journal: Diabetes Technol Ther
Volume: 18 Suppl 2
Pages: S223-33
",,,,,,,,,,,,,,,,,,,
1637,"Author: Lai, J., Woodward, R., Alexandrov, Y., Ain Munnee, Q., Lees, C. C., Vaidyanathan, R. and Nowlan, N. C.
Year: 2018
Title: Performance of a wearable acoustic system for fetal movement discrimination
Journal: PLoS One
Volume: 13
Issue: 5
Pages: e0195728
",,,,,,,,,,,,,,,,,,,
1645,"Author: Lamont, R. M., Daniel, H. L., Payne, C. L. and Brauer, S. G.
Year: 2018
Title: Accuracy of wearable physical activity trackers in people with Parkinson's disease
Journal: Gait Posture
Volume: 63
Pages: 104-108
",,,,,,,,,,,,,,,,,,,
1693,"Author: Lee, H. K., Kim, H. and Lee, K. J.
Year: 2015
Title: Nasal pressure recordings for automatic snoring detection
Journal: Med Biol Eng Comput
Volume: 53
Issue: 11
Pages: 1103-11
",,,,,,,,,,,,,,,,,,,
1698,"Author: Lee, J. H., Park, J. H. and Kim, Y. J.
Year: 2015
Title: Sensitivity of the accelerometer as a measurement tool for upper extremity movement by stroke patients: a comparison with the action research arm test
Journal: J Phys Ther Sci
Volume: 27
Issue: 4
Pages: 1053-4
",,,,,,,,,,,,,,,,,,,
1703,"Author: Lee, S., Lee, Y. S. and Kim, J.
Year: 2018
Title: Automated Evaluation of Upper-Limb Motor Function Impairment Using Fugl-Meyer Assessment
Journal: IEEE Trans Neural Syst Rehabil Eng
Volume: 26
Issue: 1
Pages: 125-134
Epub Date: 2017/09/28
",,,,,,,,,,,,,,,,,,,
1728,"Author: Levendowski, D. J., Ferini-Strambi, L., Gamaldo, C., Cetel, M., Rosenberg, R. and Westbrook, P. R.
Year: 2017
Title: The Accuracy, Night-to-Night Variability, and Stability of Frontopolar Sleep Electroencephalography Biomarkers
Journal: J Clin Sleep Med
Volume: 13
Issue: 6
Pages: 791-803
",,,,,,,,,,,,,,,,,,,
1752,"Author: Li, Y., Zhang, X., Gong, Y., Cheng, Y., Gao, X. and Chen, X.
Year: 2017
Title: Motor Function Evaluation of Hemiplegic Upper-Extremities Using Data Fusion from Wearable Inertial and Surface EMG Sensors
Journal: Sensors (Basel)
Volume: 17
Issue: 3
",,,,,,,,,,,,,,,,,,,
1796,"Author: Liu, Y., Yang, D., Xiong, F., Yu, L., Ji, F. and Wang, Q. J.
Year: 2015
Title: Development and Validation of a Portable Hearing Self-Testing System Based on a Notebook Personal Computer
Journal: J Am Acad Audiol
Volume: 26
Issue: 8
Pages: 716-23
",,,,,,,,,,,,,,,,,,,
1809,"Author: Long, A., Edwards, J., Worthington, J., Cotterill, N., Weir, I., Drake, M. J. and van den Heuvel, E.
Year: 2015
Title: Clinical Evaluation of a Prototype Underwear Designed to Detect Urine Leakage From Continence Pads
Journal: J Wound Ostomy Continence Nurs
Volume: 42
Issue: 6
Pages: 632-9
",,,,,,,,,,,,,,,,,,,
1817,"Author: Lopane, G., Mellone, S., Chiari, L., Cortelli, P., Calandra-Buonaura, G. and Contin, M.
Year: 2015
Title: Dyskinesia detection and monitoring by a single sensor in patients with Parkinson's disease
Journal: Mov Disord
Volume: 30
Issue: 9
Pages: 1267-71
",,,,,,,,,,,,,,,,,,,
1829,"Author: Low, C. A., Dey, A. K., Ferreira, D., Kamarck, T., Sun, W., Bae, S. and Doryab, A.
Year: 2017
Title: Estimation of Symptom Severity During Chemotherapy From Passively Sensed Data: Exploratory Study
Journal: J Med Internet Res
Volume: 19
Issue: 12
Pages: e420
",,,,,,,,,,,,,,,,,,,
1851,"Author: Lopez-Blanco, R., Velasco, M. A., Mendez-Guerrero, A., Romero, J. P., Del Castillo, M. D., Serrano, J. I., Benito-Leon, J., Bermejo-Pareja, F. and Rocon, E.
Year: 2018
Title: Essential tremor quantification based on the combined use of a smartphone and a smartwatch: The NetMD study
Journal: J Neurosci Methods
Volume: 303
Pages: 95-102
",,,,,,,,,,,,,,,,,,,
1898,"Author: Mannini, A., Trojaniello, D., Cereatti, A. and Sabatini, A. M.
Year: 2016
Title: A Machine Learning Framework for Gait Classification Using Inertial Sensors: Application to Elderly, Post-Stroke and Huntington's Disease Patients
Journal: Sensors (Basel)
Volume: 16
Issue: 1
",,,,,,,,,,,,,,,,,,,
1900,"Author: Mannini, A., Trojaniello, D., Della Croce, U. and Sabatini, A. M.
Year: 2015
Title: Hidden Markov model-based strategy for gait segmentation using inertial sensors: Application to elderly, hemiparetic patients and Huntington's disease patients
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2015
Pages: 5179-82
",,,,,,,,,,,,,,,,,,,
1908,"Author: Maqbool, H. F., Husman, M. A. B., Awad, M. I., Abouhossein, A., Iqbal, N. and Dehghani-Sanij, A. A.
Year: 2017
Title: A Real-Time Gait Event Detection for Lower Limb Prosthesis Control and Evaluation
Journal: IEEE Trans Neural Syst Rehabil Eng
Volume: 25
Issue: 9
Pages: 1500-1509
",,,,,,,,,,,,,,,,,,,
1922,"Author: Marschollek, M., Becker, M., Bauer, J. M., Bente, P., Dasenbrock, L., Elbers, K., Hein, A., Kolb, G., Kunemund, H., Lammel-Polchau, C., Meis, M., Meyer Zu Schwabedissen, H., Remmers, H., Schulze, M., Steen, E. E., Thoben, W., Wang, J., Wolf, K. H. and Haux, R.
Year: 2014
Title: Multimodal activity monitoring for home rehabilitation of geriatric fracture patients--feasibility and acceptance of sensor systems in the GAL-NATARS study
Journal: Inform Health Soc Care
Volume: 39
Issue: 3-4
Pages: 262-71
",,,,,,,,,,,,,,,,,,,
1938,"Author: Masse, F., Gonzenbach, R. R., Arami, A., Paraschiv-Ionescu, A., Luft, A. R. and Aminian, K.
Year: 2015
Title: Improving activity recognition using a wearable barometric pressure sensor in mobility-impaired stroke patients
Journal: J Neuroeng Rehabil
Volume: 12
Pages: 72
",,,,,,,,,,,,,,,,,,,
1962,"Author: Mazilu, S., Calatroni, A., Gazit, E., Mirelman, A., Hausdorff, J. M. and Troster, G.
Year: 2015
Title: Prediction of Freezing of Gait in Parkinson's From Physiological Wearables: An Exploratory Study
Journal: IEEE J Biomed Health Inform
Volume: 19
Issue: 6
Pages: 1843-54
",,,,,,,,,,,,,,,,,,,
1963,"Author: Mc Ardle, R., Morris, R., Hickey, A., Del Din, S., Koychev, I., Gunn, R. N., Lawson, J., Zamboni, G., Ridha, B., Sahakian, B. J., Rowe, J. B., Thomas, A., Zetterberg, H., MacKay, C., Lovestone, S. and Rochesteron, L.
Year: 2018
Title: Gait in Mild Alzheimer's Disease: Feasibility of Multi-Center Measurement in the Clinic and Home with Body-Worn Sensors: A Pilot Study
Journal: J Alzheimers Dis
Volume: 63
Issue: 1
Pages: 331-341
",,,,,,,,,,,,,,,,,,,
1965,"Author: McAuley, S. A., Dang, T. T., Horsburgh, J. C., Bansal, A., Ward, G. M., Aroyan, S., Jenkins, A. J., MacIsaac, R. J., Shah, R. V. and O'Neal, D. N.
Year: 2016
Title: Feasibility of an Orthogonal Redundant Sensor incorporating Optical plus Redundant Electrochemical Glucose Sensing
Journal: J Diabetes Sci Technol
Volume: 10
Issue: 3
Pages: 679-88
",,,,,,,,,,,,,,,,,,,
1971,"Author: McGarty, A. M., Penpraze, V. and Melville, C. A.
Year: 2016
Title: Calibration and Cross-Validation of the ActiGraph wGT3X+ Accelerometer for the Estimation of Physical Activity Intensity in Children with Intellectual Disabilities
Journal: PLoS One
Volume: 11
Issue: 10
Pages: e0164928
",,,,,,,,,,,,,,,,,,,
1972,"Author: McGinley, S. K., Armstrong, M. J., Khandwala, F., Zanuso, S. and Sigal, R. J.
Year: 2015
Title: Assessment of the MyWellness Key accelerometer in people with type 2 diabetes
Journal: Appl Physiol Nutr Metab
Volume: 40
Issue: 11
Pages: 1193-8
",,,,,,,,,,,,,,,,,,,
1974,"Author: McGinnis, R. S., Mahadevan, N., Moon, Y., Seagers, K., Sheth, N., Wright, J. A., Jr., DiCristofaro, S., Silva, I., Jortberg, E., Ceruolo, M., Pindado, J. A., Sosnoff, J., Ghaffari, R. and Patel, S.
Year: 2017
Title: A machine learning approach for gait speed estimation using skin-mounted wearable sensors: From healthy controls to individuals with multiple sclerosis
Journal: PLoS One
Volume: 12
Issue: 6
Pages: e0178366
",,,,,,,,,,,,,,,,,,,
1994,"Author: Meissner, W. G., Flabeau, O., Perez, P., Taillard, J., Marquant, F., Dupouy, S., Tison, F., Philip, P. and Ghorayeb, I.
Year: 2014
Title: Accuracy of portable polygraphy for the diagnosis of sleep apnea in multiple system atrophy
Journal: Sleep Med
Volume: 15
Issue: 4
Pages: 476-9
",,,,,,,,,,,,,,,,,,,
2002,"Author: Memar, S., Delrobaei, M., Pieterman, M., McIsaac, K. and Jog, M.
Year: 2018
Title: Quantification of whole-body bradykinesia in Parkinson's disease participants using multiple inertial sensors
Journal: J Neurol Sci
Volume: 387
Pages: 157-165
",,,,,,,,,,,,,,,,,,,
2015,"Author: Merbler, A. M., Byiers, B. J., Garcia, J. J., Feyma, T. J. and Symons, F. J.
Year: 2018
Title: The feasibility of using actigraphy to characterize sleep in Rett syndrome
Journal: J Neurodev Disord
Volume: 10
Issue: 1
Pages: 8
",,,,,,,,,,,,,,,,,,,
2016,"Author: Mercer, K., Giangregorio, L., Schneider, E., Chilana, P., Li, M. and Grindrod, K.
Year: 2016
Title: Acceptance of Commercially Available Wearable Activity Trackers Among Adults Aged Over 50 and With Chronic Illness: A Mixed-Methods Evaluation
Journal: JMIR Mhealth Uhealth
Volume: 4
Issue: 1
Pages: e7
",,,,,,,,,,,,,,,,,,,
2023,"Author: Messer, L. H., Calhoun, P., Buckingham, B., Wilson, D. M., Hramiak, I., Ly, T. T., Driscoll, M., Clinton, P. and Maahs, D. M.
Year: 2017
Title: In-home nighttime predictive low glucose suspend experience in children and adults with type 1 diabetes
Journal: Pediatr Diabetes
Volume: 18
Issue: 5
Pages: 332-339
",,,,,,,,,,,,,,,,,,,
2035,"Author: Mileti, I., Germanotta, M., Di Sipio, E., Imbimbo, I., Pacilli, A., Erra, C., Petracca, M., Rossi, S., Del Prete, Z., Bentivoglio, A. R., Padua, L. and Palermo, E.
Year: 2018
Title: Measuring Gait Quality in Parkinson's Disease through Real-Time Gait Phase Recognition
Journal: Sensors (Basel)
Volume: 18
Issue: 3
",,,,,,,,,,,,,,,,,,,
2053,"Author: Mitchell, T., Borner, K., Finch, J., Kerr, J. and Carlson, J. A.
Year: 2017
Title: Using Activity Monitors to Measure Sit-to-Stand Transitions in Overweight/Obese Youth
Journal: Med Sci Sports Exerc
Volume: 49
Issue: 8
Pages: 1592-1598
",,,,,,,,,,,,,,,,,,,
2076,"Author: Moon, Y., McGinnis, R. S., Seagers, K., Motl, R. W., Sheth, N., Wright, J. A., Jr., Ghaffari, R. and Sosnoff, J. J.
Year: 2017
Title: Monitoring gait in multiple sclerosis with novel wearable motion sensors
Journal: PLoS One
Volume: 12
Issue: 2
Pages: e0171346
",,,,,,,,,,,,,,,,,,,
2095,"Author: Moss, S. J. and Czyz, S. H.
Year: 2018
Title: Level of agreement between physical activity levels measured by ActiHeart and the International Physical Activity Questionnaire in persons with intellectual disability
Journal: Disabil Rehabil
Volume: 40
Issue: 3
Pages: 360-366
",,,,,,,,,,,,,,,,,,,
2098,"Author: Motl, R. W., McAuley, E. and Klaren, R.
Year: 2014
Title: Reliability of physical-activity measures over six months in adults with multiple sclerosis: implications for designing behavioral interventions
Journal: Behav Med
Volume: 40
Issue: 1
Pages: 29-33
",,,,,,,,,,,,,,,,,,,
2122,"Author: Myllymaa, S., Muraja-Murro, A., Westeren-Punnonen, S., Hukkanen, T., Lappalainen, R., Mervaala, E., Toyras, J., Sipila, K. and Myllymaa, K.
Year: 2016
Title: Assessment of the suitability of using a forehead EEG electrode set and chin EMG electrodes for sleep staging in polysomnography
Journal: J Sleep Res
Volume: 25
Issue: 6
Pages: 636-645
",,,,,,,,,,,,,,,,,,,
2137,"Author: Najafi, B., Mohseni, H., Grewal, G. S., Talal, T. K., Menzies, R. A. and Armstrong, D. G.
Year: 2017
Title: An Optical-Fiber-Based Smart Textile (Smart Socks) to Manage Biomechanical Risk Factors Associated With Diabetic Foot Amputation
Journal: J Diabetes Sci Technol
Volume: 11
Issue: 4
Pages: 668-677
",,,,,,,,,,,,,,,,,,,
2140,"Author: Nakanishi, M., Wang, Y. T., Jung, T. P., Zao, J. K., Chien, Y. Y., Diniz-Filho, A., Daga, F. B., Lin, Y. P., Wang, Y. and Medeiros, F. A.
Year: 2017
Title: Detecting Glaucoma With a Portable Brain-Computer Interface for Objective Assessment of Visual Function Loss
Journal: JAMA Ophthalmol
Volume: 135
Issue: 6
Pages: 550-557
",,,,,,,,,,,,,,,,,,,
2152,"Author: Naslund, J. A., Aschbrenner, K. A., Barre, L. K. and Bartels, S. J.
Year: 2015
Title: Feasibility of popular m-health technologies for activity tracking among individuals with serious mental illness
Journal: Telemed J E Health
Volume: 21
Issue: 3
Pages: 213-6
",,,,,,,,,,,,,,,,,,,
2165,"Author: Nero, H., Benka Wallen, M., Franzen, E., Stahle, A. and Hagstromer, M.
Year: 2015
Title: Accelerometer Cut Points for Physical Activity Assessment of Older Adults with Parkinson's Disease
Journal: PLoS One
Volume: 10
Issue: 9
Pages: e0135899
",,,,,,,,,,,,,,,,,,,
2167,"Author: Newman, C. J., Bruchez, R., Roches, S., Jequier Gygax, M., Duc, C., Dadashi, F., Masse, F. and Aminian, K.
Year: 2017
Title: Measuring upper limb function in children with hemiparesis with 3D inertial sensors
Journal: Childs Nerv Syst
Volume: 33
Issue: 12
Pages: 2159-2168
",,,,,,,,,,,,,,,,,,,
2171,"Author: Nguyen, H., Lebel, K., Boissy, P., Bogard, S., Goubault, E. and Duval, C.
Year: 2017
Title: Auto detection and segmentation of daily living activities during a Timed Up and Go task in people with Parkinson's disease using multiple inertial sensors
Journal: J Neuroeng Rehabil
Volume: 14
Issue: 1
Pages: 26
",,,,,,,,,,,,,,,,,,,
2198,"Author: Noor, Z. M., Smith, A. J., Smith, S. S. and Nissen, L. M.
Year: 2016
Title: A feasibility study: Use of actigraph to monitor and follow-up sleep/wake patterns in individuals attending community pharmacy with sleeping disorders
Journal: J Pharm Bioallied Sci
Volume: 8
Issue: 3
Pages: 173-80
",,,,,,,,,,,,,,,,,,,
2200,"Author: Norman, M. B., Pithers, S. M., Teng, A. Y., Waters, K. A. and Sullivan, C. E.
Year: 2017
Title: Validation of the Sonomat Against PSG and Quantitative Measurement of Partial Upper Airway Obstruction in Children With Sleep-Disordered Breathing
Journal: Sleep
Volume: 40
Issue: 3
",,,,,,,,,,,,,,,,,,,
2201,"Author: Norman, M. B., Middleton, S., Erskine, O., Middleton, P. G., Wheatley, J. R. and Sullivan, C. E.
Year: 2014
Title: Validation of the Sonomat: a contactless monitoring system used for the diagnosis of sleep disordered breathing
Journal: Sleep
Volume: 37
Issue: 9
Pages: 1477-87
",,,,,,,,,,,,,,,,,,,
2211,"Author: Nolker, G., Mayer, J., Boldt, L. H., Seidl, K., V, V. A. N. Driel, Massa, T., Kollum, M., Brachmann, J., Deneke, T., Hindricks, G., Jung, W., Brunner, K. J., Kraus, S., Hummer, A. and Lewalter, T.
Year: 2016
Title: Performance of an Implantable Cardiac Monitor to Detect Atrial Fibrillation: Results of the DETECT AF Study
Journal: J Cardiovasc Electrophysiol
Volume: 27
Issue: 12
Pages: 1403-1410
",,,,,,,,,,,,,,,,,,,
2214,"Author: O'Brien, M. K., Shawen, N., Mummidisetty, C. K., Kaur, S., Bo, X., Poellabauer, C., Kording, K. and Jayaraman, A.
Year: 2017
Title: Activity Recognition for Persons With Stroke Using Mobile Phone Technology: Toward Improved Performance in a Home Setting
Journal: J Med Internet Res
Volume: 19
Issue: 5
Pages: e184
",,,,,,,,,,,,,,,,,,,
2220,"Author: O'Neil, M. E., Fragala-Pinkham, M. A., Forman, J. L. and Trost, S. G.
Year: 2014
Title: Measuring reliability and validity of the ActiGraph GT3X accelerometer for children with cerebral palsy: a feasibility study
Journal: J Pediatr Rehabil Med
Volume: 7
Issue: 3
",,,,,,,,,,,,,,,,,,,
2221,"Author: O'Neill, B., McDonough, S. M., Wilson, J. J., Bradbury, I., Hayes, K., Kirk, A., Kent, L., Cosgrove, D., Bradley, J. M. and Tully, M. A.
Year: 2017
Title: Comparing accelerometer, pedometer and a questionnaire for measuring physical activity in bronchiectasis: a validity and feasibility study?
Journal: Respir Res
Volume: 18
Issue: 1
Pages: 16
",,,,,,,,,,,,,,,,,,,
2228,"Author: Oftedal, S., Bell, K. L., Davies, P. S., Ware, R. S. and Boyd, R. N.
Year: 2014
Title: Validation of accelerometer cut points in toddlers with and without cerebral palsy
Journal: Med Sci Sports Exerc
Volume: 46
Issue: 9
Pages: 1808-15
",,,,,,,,,,,,,,,,,,,
2231,"Author: Ojeda, M. and Ding, D.
Year: 2014
Title: Temporal parameters estimation for wheelchair propulsion using wearable sensors
Journal: Biomed Res Int
Volume: 2014
Pages: 645284
",,,,,,,,,,,,,,,,,,,
2242,"Author: Onorati, F., Regalia, G., Caborni, C., Migliorini, M., Bender, D., Poh, M. Z., Frazier, C., Kovitch Thropp, E., Mynatt, E. D., Bidwell, J., Mai, R., LaFrance, W. C., Jr., Blum, A. S., Friedman, D., Loddenkemper, T., Mohammadpour-Touserkani, F., Reinsberger, C., Tognetti, S. and Picard, R. W.
Year: 2017
Title: Multicenter clinical assessment of improved wearable multimodal convulsive seizure detectors
Journal: Epilepsia
Volume: 58
Issue: 11
Pages: 1870-1879
",,,,,,,,,,,,,,,,,,,
2260,"Author: Ovadia-Blechman, Z., Avrahami, I., Weizman-Shammai, E., Sharir, T., Eldar, M. and Chouraqui, P.
Year: 2015
Title: Peripheral microcirculatory hemodynamic changes in patients with myocardial ischemia
Journal: Biomed Pharmacother
Volume: 74
Pages: 83-8
",,,,,,,,,,,,,,,,,,,
2273,"Author: Pallin, M., O'Hare, E., Zaffaroni, A., Boyle, P., Fagan, C., Kent, B., Heneghan, C., de Chazal, P. and McNicholas, W. T.
Year: 2014
Title: Comparison of a novel non-contact biomotion sensor with wrist actigraphy in estimating sleep quality in patients with obstructive sleep apnoea
Journal: J Sleep Res
Volume: 23
Issue: 4
Pages: 475-84
",,,,,,,,,,,,,,,,,,,
2274,"Author: Palmerini, L., Rocchi, L., Mazilu, S., Gazit, E., Hausdorff, J. M. and Chiari, L.
Year: 2017
Title: Identification of Characteristic Motor Patterns Preceding Freezing of Gait in Parkinson's Disease Using Wearable Sensors
Journal: Front Neurol
Volume: 8
Pages: 394
",,,,,,,,,,,,,,,,,,,
2291,"Author: Parekh, A. S., Mansouri, K., Weinreb, R. N., Tafreshi, A., Korn, B. S. and Kikkawa, D. O.
Year: 2015
Title: Twenty-four-hour intraocular pressure patterns in patients with thyroid eye disease
Journal: Clin Exp Ophthalmol
Volume: 43
Issue: 2
Pages: 108-14
",,,,,,,,,,,,,,,,,,,
2296,"Author: Park, D. Y., Kim, H. J., Kim, C. H., Kim, Y. S., Choi, J. H., Hong, S. Y., Jung, J. J., Lee, K. I. and Lee, H. S.
Year: 2015
Title: Reliability and validity testing of automated scoring in obstructive sleep apnea diagnosis with the Embletta X100
Journal: Laryngoscope
Volume: 125
Issue: 2
Pages: 493-7
",,,,,,,,,,,,,,,,,,,
2316,"Author: Patterson, A. L., Mudigoudar, B., Fulton, S., McGregor, A., Poppel, K. V., Wheless, M. C., Brooks, L. and Wheless, J. W.
Year: 2015
Title: SmartWatch by SmartMonitor: Assessment of Seizure Detection Efficacy for Various Seizure Types in Children, a Large Prospective Single-Center Study
Journal: Pediatr Neurol
Volume: 53
Issue: 4
Pages: 309-11
Epub Date: 2015
",,,,,,,,,,,,,,,,,,,
2318,"Author: Pau, M., Caggiari, S., Mura, A., Corona, F., Leban, B., Coghe, G., Lorefice, L., Marrosu, M. G. and Cocco, E.
Year: 2016
Title: Clinical assessment of gait in individuals with multiple sclerosis using wearable inertial sensors: Comparison with patient-based measure
Journal: Mult Scler Relat Disord
Volume: 10
Pages: 187-191
",,,,,,,,,,,,,,,,,,,
2345,"Author: Pham, M. H., Elshehabi, M., Haertner, L., Del Din, S., Srulijes, K., Heger, T., Synofzik, M., Hobert, M. A., Faber, G. S., Hansen, C., Salkovic, D., Ferreira, J. J., Berg, D., Sanchez-Ferro, A., van Dieen, J. H., Becker, C., Rochester, L., Schmidt, G. and Maetzler, W.
Year: 2017
Title: Validation of a Step Detection Algorithm during Straight Walking and Turning in Patients with Parkinson's Disease and Older Adults Using an Inertial Measurement Unit at the Lower Back
Journal: Front Neurol
Volume: 8
Pages: 457
",,,,,,,,,,,,,,,,,,,
2346,"Author: Pham, M. H., Elshehabi, M., Haertner, L., Heger, T., Hobert, M. A., Faber, G. S., Salkovic, D., Ferreira, J. J., Berg, D., Sanchez-Ferro, A., van Dieen, J. H. and Maetzler, W.
Year: 2017
Title: Algorithm for Turning Detection and Analysis Validated under Home-Like Conditions in Patients with Parkinson's Disease and Older Adults using a 6 Degree-of-Freedom Inertial Measurement Unit at the Lower Back
Journal: Front Neurol
Volume: 8
Pages: 135
",,,,,,,,,,,,,,,,,,,
2360,"Author: Pienaar, A. W. and Barnard, J. G.
Year: 2017
Title: Development, validity and reliability of a new pressure air biofeedback device (PAB) for measuring isometric extension strength of the lumbar spine
Journal: J Med Eng Technol
Volume: 41
Issue: 3
Pages: 216-222
",,,,,,,,,,,,,,,,,,,
2365,"Author: Pinna, G. D., Robbi, E., Pizza, F., Taurino, A. E., Pronzato, C., La Rovere, M. T. and Maestri, R.
Year: 2014
Title: Can cardiorespiratory polygraphy replace portable polysomnography in the assessment of sleep-disordered breathing in heart failure patients?
Journal: Sleep Breath
Volume: 18
Issue: 3
Pages: 475-82
",,,,,,,,,,,,,,,,,,,
2400,"Author: Prasad, B., Usmani, S., Steffen, A. D., Van Dongen, H. P., Pack, F. M., Strakovsky, I., Staley, B., Dinges, D., Maislin, G., Pack, A. I. and Weaver, T. E.
Year: 2016
Title: Short-Term Variability in Apnea-Hypopnea Index during Extended Home Portable Monitoring
Journal: J Clin Sleep Med
Volume: 12
Issue: 6
Pages: 855-63
",,,,,,,,,,,,,,,,,,,
2406,"Author: Prieto-Centurion, V., Bracken, N., Norwick, L., Zaidi, F., Mutso, A. A., Morken, V., Coultas, D. B., Rand, C. S., Marquez, D. X. and Krishnan, J. A.
Year: 2016
Title: Can Commercially Available Pedometers Be Used For Physical Activity Monitoring In Patients With COPD Following Exacerbations?
Journal: Chronic Obstr Pulm Dis
Volume: 3
Issue: 3
Pages: 636-642

",,,,,,,,,,,,,,,,,,,
2418,"Author: Ptomey, L. T., Willis, E. A., Lee, J., Washburn, R. A., Gibson, C. A., Honas, J. J. and Donnelly, J. E.
Year: 2017
Title: The feasibility of using pedometers for self-report of steps and accelerometers for measuring physical activity in adults with intellectual and developmental disabilities across an 18-month intervention
Journal: J Intellect Disabil Res
Volume: 61
Issue: 8
Pages: 792-801
DOI: 10.1111/jir.12392
",,,,,,,,,,,,,,,,,,,
2421,"Author: Pulliam, C. L., Heldman, D. A., Brokaw, E. B., Mera, T. O., Mari, Z. K. and Burack, M. A.
Year: 2018
Title: Continuous Assessment of Levodopa Response in Parkinson's Disease Using Wearable Motion Sensors
Journal: IEEE Trans Biomed Eng
Volume: 65
Issue: 1
Pages: 159-164
Epub Date: 2017/05/02
Date: Jan
Short Title: Continuous Assessment of Levodopa Response in Parkinson's Disease Using Wearable Motion Sensors
Alternate Journal: IEEE transactions on bio-medical engineering
ISSN: 0018-9294
DOI: 10.1109/tbme.2017.2697764
",,,,,,,,,,,,,,,,,,,
2422,"Pulliam, C. L., Eichenseer, S. R., Goetz, C. G., Waln, O., Hunter, C. B., Jankovic, J., Vaillancourt, D. E., Giuffrida, J. P. and Heldman, D. A.
Year: 2014
Title: Continuous in-home monitoring of essential tremor
Journal: Parkinsonism Relat Disord
Volume: 20
Issue: 1
Pages: 37-40
Epub Date: 2013/10/16
Date: Jan
Short Title: Continuous in-home monitoring of essential tremor
Alternate Journal: Parkinsonism & related disorders
ISSN: 1353-8020
DOI: 10.1016/j.parkreldis.2013.09.009
",,,,,,,,,,,,,,,,,,,
2423,"Author: Pulliam, C. L., Burack, M. A., Heldman, D. A., Giuffrida, J. P. and Mera, T. O.
Year: 2014
Title: Motion sensor dyskinesia assessment during activities of daily living
Journal: J Parkinsons Dis
Volume: 4
Issue: 4
Pages: 609-15",,,,,,,,,,,,,,,,,,,
