# Generated by ReviewAid
Filename,Title,Author,Year,Confidence,Reason for Inclusion
Butzkueven et al. - Similar clinical outcomes for natalizumab patients switching to every-6-week dosing versus remaining.pdf,Similar Clinical Outcomes for Natalizumab Patients Switching to Every-6-Week Dosing Versus Remaining on Every-4-Week Dosing in Real-World Practice,Butzkueven H,2020,0.95,"The paper focuses on adults with multiple sclerosis (MS) receiving natalizumab, comparing relapse and disability outcomes between patients who switched to every-6-week (Q6W) dosing and those who remained on every-4-week (Q4W) dosing. This aligns with the inclusion criteria for population (adults), intervention (natalizumab), comparison (Q6W vs Q4W), and outcomes (MS-related relapse and disability)."
Chisari et al. - 2020 - Clinical effectiveness of different natalizumab interval dosing schedules in a large Italian populat.pdf,Clinical effectiveness of different natalizumab interval dosing schedules in a large Italian population of patients with multiple sclerosis,Clara Grazia Chisari,2020,0.95,"The paper studies adults with relapsing-remitting multiple sclerosis (RR-MS) receiving natalizumab (NTZ) with standard interval dosing (SID) or extended interval dosing (EID), comparing their effectiveness. The population is adults (mean age 43.2 years), intervention includes natalizumab (SID/EID), comparison is between SID and EID, and outcomes focus on multiple sclerosis (MS) measures (relapse rate, disability status, progression index). All criteria are met."
Clerico et al. - Extending the Interval of Natalizumab Dosing Is Efficacy Preserved.pdf,Extending the Interval of Natalizumab Dosing: Is Efficacy Preserved?,Marinella Clerico,2019,0.95,"The paper is an observational study evaluating the noninferiority of extended interval dosing (EID) versus standard interval dosing (SID) of natalizumab in adults with multiple sclerosis (MS). The population includes adults (excludes children), the intervention is natalizumab (comparing EID and SID, which are included; excludes ocrelizumab and fingolimod), the comparison is between EID and SID, and the outcomes focus on MS (annualized relapse rate). All criteria are met."
De Mercanti et al. - 2021 - MRI activity and extended interval of Natalizumab dosing regimen a multicentre Italian study.pdf,MRI activity and extended interval of Natalizumab dosing regimen: a multicentre Italian study,Stefania Federica De Mercanti,2021,0.95,"The paper is a multicentre retrospective cohort study evaluating MRI activity (a MS outcome) in adult patients with multiple sclerosis receiving natalizumab, comparing standard interval dosing (SID) versus extended interval dosing (EID). All PICO criteria are met: population (adults), intervention (natalizumab, SID/EID), comparison (SID vs EID), and outcomes (MS/MRI activity)."
Dekker et al. - 2019 - Long-term disease activity and disability progression in relapsing-remitting multiple sclerosis pati.pdf,Long-term disease activity and disability progression in relapsing-remitting multiple sclerosis patients on natalizumab,"I. Dekkera,b",2019,0.95,"The paper focuses on adults (18+ years) with relapsing-remitting multiple sclerosis treated with natalizumab, which matches the inclusion criteria for population and intervention. Outcomes measured include Expanded Disability Status Scale (EDSS) progression/improvement, No Evidence of Disease Activity (NEDA), and No Evidence of Progression or Active Disease (NEPAD), all relevant to MS. The study does not include children, ocrelizumab, or fingolimod, so exclusion criteria are not violated."
Derfuss et al. - 2017 - α4-integrin receptor desaturation and disease activity return after natalizumab cessation.pdf,a4-integrin receptor desaturation and disease activity return after natalizumab cessation,Tobias Derfuss,2017,0.95,"The paper focuses on adults (population) with relapsing-remitting MS who discontinued natalizumab (intervention), evaluating disease activity (outcome MS). It meets all inclusion criteria for population, intervention, and outcome."
Foley et al. - 2022 - Comparison of switching to 6-week dosing of natalizumab versus continuing with 4-week dosing in pati.pdf,"Comparison of switching to 6-week dosing of natalizumab versus continuing with 4-week dosing in patients with relapsing-remitting multiple sclerosis (NOVA): a randomised, controlled, open-label, phase 3b trial",John F Foley,2022,0.95,"The paper studies adults (18–60 years) with relapsing-remitting multiple sclerosis (MS) comparing natalizumab 6-week dosing versus 4-week dosing, which aligns with the intervention criteria (natalizumab, SID/EID). Outcomes include MS-related endpoints (new T2 hyperintense lesions, relapse, disability worsening), meeting the outcomes criterion. Population is restricted to adults, matching inclusion criteria."
Fuentes-Rumí et al. - 2020 - Prevention of rebound effect after natalizumab withdrawal in multiple sclerosis. Study of two high-d.pdf,Prevention of rebound effect after natalizumab withdrawal in multiple sclerosis. Study of two high-dose methylprednisolone schedules,Luna Fuentes-Rumía,2020,0.95,"The paper focuses on adults with multiple sclerosis (MS) receiving natalizumab (NTZ) and evaluates two high-dose methylprednisolone (IVMP) schedules during NTZ washout to prevent rebound effect. This aligns with the inclusion criteria for population (adults), intervention (natalizumab, IVMP schedules), and outcomes (MS-related relapse, MRI activity, EDSS)."
Gudesblatt et al. - Improvement in Cognitive Function as Measured by NeuroTrax in Patients with Relapsing Multiple Scler.pdf,Improvement in Cognitive Function as Measured by NeuroTrax in Patients with Relapsing Multiple Sclerosis Treated with Natalizumab: A 2-Year Retrospective Analysis,Mark Gudesblatt,2018,0.95,"The paper includes adult patients with multiple sclerosis (MS) treated with natalizumab (the intervention) and evaluates cognitive function (an outcome relevant to MS). It meets the population (adults), intervention (natalizumab), and outcome (MS-related cognitive function) criteria. There is no comparison group required by the PICO criteria, and the study focuses on the specified intervention and population."
Jakimovski et al. - 2023 - Patient-reported outcomes based on discontinuation or continuous treatment with natalizumab New Yor (1).pdf,Patient-reported outcomes based on discontinuation or continuous treatment with natalizumab: New York State Multiple Sclerosis Consortium (NYSMSC) study,Dejan Jakimovski,2023,0.95,"The paper focuses on adults (population) treated with natalizumab (intervention), with outcomes related to Multiple Sclerosis (PRO measures). It compares discontinuation vs continuous treatment with natalizumab, meeting all PICO criteria."
Kieseier et al. - Currently Approved Disease-Modifying Drugs Monoclonal Antibody Natalizumab.pdf,Translational Neuroimmunology in Multiple Sclerosis,B.C. Kieseier,2016,0.95,"The paper focuses on Natalizumab, an included intervention, for adults (population) with Multiple Sclerosis (outcome), meeting all inclusion criteria and excluding specified interventions (Ocrelizumab, Fingolimod) and population (children)."
Kleerekooper et al. - 2017 - Disease activity following pregnancy-related discontinuation of natalizumab in MS.pdf,Disease activity following pregnancy-related discontinuation of natalizumab in MS,Iris Kleerekooper,2018,0.95,"The paper studies adults (population) with relapsing-remitting MS who discontinued natalizumab (intervention) for pregnancy-related reasons, evaluating MS-related outcomes (disease activity, disability progression, relapses). All PICO criteria are met."
Magro et al. - 2023 - Natalizumab wearing-off symptoms effect of extend interval dosing during Sars-CoV-2 pandemic.pdf,Natalizumab wearing‑off symptoms: effect of extend interval dosing during Sars‑CoV‑2 pandemic,Giuseppe Magro,2023,0.95,"The paper focuses on Natalizumab (intervention) in adult patients (population) and evaluates outcomes related to Multiple Sclerosis (MS), specifically examining the effect of extended interval dosing (EID) on wearing-off symptoms, which aligns with all PICO criteria."
